速 	soku 	haya-i; haya-maru; haya-meru 	fast
進 	shin 	susu-mu 	advance
遊 	yū 	aso-bu 	play
運 	un 	hako-bu 	carry
部 	bu 	 – 	part
都 	to; tsu 	miyako 	metropolis
配 	hai 	kuba-ru 	distribute
酒 	shu 	sake; saka 	rice wine
重 	jū; chō 	omo-i; kasa-neru 	heavy
鉄 	tetsu 	 – 	iron
銀 	gin 	 – 	silver
開 	kai 	hira-ku; a-ku; hira-keru; a-keru 	open
院 	in 	 – 	institution
陽 	yō 	 – 	sunshine
階 	kai 	 – 	floor of a building
集 	shū 	atsu-maru; atsu-meru 	collect
面 	men 	omo-te; tsura 	face
題 	dai 	 – 	topic
飲 	in 	no-mu 	drink
館 	kan 	yakata 	public building
駅 	eki 	 – 	station
鼻 	bi 	hana 	nose
